	Control1	Control2	Control3	Control4	Control5	Case1	Case2	Case3	Case4	Case5	Outgroup1	Outgroup2	Outgroup3	Outgroup4	Outgroup5
Amino Acid;Phenylalanine and Tyrosine Metabolism;N-acetylphenylalanine	0.6307	1.1735	0.7542	0.2684	0.9346	1.1409	0.9099	0.8418	0.9945	1.0382	0.805	0.9487	1.0805	1.3547	1.0288
Amino Acid;Polyamine Metabolism;N-acetylputrescine	0.6973	0.4756	0.4353	0.3839	0.5653	0.4435	0.4972	0.4066	0.5013	0.6025	2.1806	1.7719	2.8906	1.8514	1.7616
Amino Acid;Glycine, Serine and Threonine Metabolism;N-acetylserine	1.1266	0.7299	0.6045	0.8312	0.9287	0.6587	0.7468	0.8357	0.8921	0.8662	1.3683	1.2324	1.6304	1.0321	1.0461
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;N-acetyltaurine	1.2301	0.9561	0.4707	0.5576	0.826	0.5837	0.8154	0.6989	0.6852	0.9848	2.0335	1.0152	1.3611	1.278	1.6378
Amino Acid;Glycine, Serine and Threonine Metabolism;N-acetylthreonine	1.3554	0.9806	0.6535	0.7097	1.1399	0.6687	0.8251	0.7833	0.8486	0.998	1.672	1.0527	1.7608	1.3072	1.4003
Amino Acid;Tryptophan Metabolism;N-acetyltryptophan	0.7045	1.0929	0.7428	0.4141	1.1103	2.1845	1.6527	0.6842	1.1592	1.495	0.9452	0.7548	0.8534	1.3603	0.747
Amino Acid;Phenylalanine and Tyrosine Metabolism;N-acetyltyrosine	0.5333	1.4438	1.2441	0.4706	1.1858	0.9174	0.8177	0.3033	0.8582	1.3392	0.9197	1.0261	1.2422	1.3834	0.8671
Amino Acid;Leucine, Isoleucine and Valine Metabolism;N-acetylvaline	0.9376	0.9833	0.6633	0.6226	0.9245	0.8058	0.8333	0.6888	0.8307	0.7456	1.2021	1.0167	1.4212	1.1644	1.0249
Nucleotide;Pyrimidine Metabolism, Orotate containing;N-carbamoylaspartate	0.4015	1.2331	0.9035	1.5216	1.8547	0.319	0.7451	3.0029	0.9873	0.7809	0.6113	1.2066	2.2373	0.5103	1.0127
Amino Acid;Urea cycle, Arginine and Proline Metabolism;N-delta-acetylornithine	0.6051	1.1282	0.7739	0.2179	0.5995	2.6868	2.9856	3.8457	2.5205	2.6134	1.9828	1.2188	1.5292	2.4644	1.6461
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;N-formylmethionine	0.9854	1.2102	1.0004	0.6692	0.9996	0.8158	0.8772	0.7099	1.0842	0.9348	1.0055	0.8864	1.3169	1.0857	0.8686
Amino Acid;Phenylalanine and Tyrosine Metabolism;N-formylphenylalanine	0.5692	0.8081	0.6698	0.6836	1.1571	0.5901	1.0581	0.7924	0.6378	1.0873	1.3944	1.0488	1.1252	1.1173	1.2318
Xenobiotics;Food Component/Plant;N-glycolylneuraminate	1.1236	0.5393	0.2661	1.4417	0.879	0.5481	0.8977	0.8859	1.1648	0.9965	1.7671	1.0595	1.711	1.355	1.4003
Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;nicotinamide	0.5502	1.0438	0.5074	1.5407	0.6701	1.1166	0.7452	1.1478	1.1173	0.5506	0.915	1.0882	1.4933	1.3931	1.4188
Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;nicotinamide N-oxide	0.9011	1.6932	0.3282	1.236	2.2169	4.3331	3.6595	3.3227	2.9489	0.7656	1.0049	0.2424	0.2424	0.2424	0.2424
Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;nicotinamide riboside	1.2119	1.0515	0.59	0.5831	0.9841	0.4532	0.5578	0.767	0.8432	0.9405	1.4961	1.2628	1.7515	1.4755	1.0159
Xenobiotics;Chemical;N-methylpipecolate	0.8456	0.7817	1.1537	0.7583	0.2672	0.6863	0.6013	0.5018	0.7647	1.3986	1.6497	1	1.7249	1.1732	1.0219
Amino Acid;Urea cycle, Arginine and Proline Metabolism;N-methylproline	0.9235	1.5115	1.2649	0.3827	1.1577	0.5173	0.5431	0.8285	1.0765	1.3143	1.2259	0.4922	0.6186	0.4348	0.479
Amino Acid;Urea cycle, Arginine and Proline Metabolism;N-monomethylarginine	0.7292	0.8485	0.8086	0.3965	0.9122	0.8427	0.809	0.6234	0.8589	1.103	1.2159	1.5441	1.1973	1.3071	1.3288
Lipid;Fatty Acid Metabolism(Acyl Glycine);N-octanoylglycine	1.585	0.9862	0.8151	0.5653	1.2823	1.2987	4.0933	1.1389	2.9206	2.291	0.9085	0.4611	0.5777	0.5646	0.923
Lipid;Endocannabinoid;N-oleoyltaurine	0.7812	1	0.5407	0.3646	0.6507	1.0074	1.4886	0.4417	0.3646	1.7384	0.7003	0.3646	4.7278	1.117	0.7779
Lipid;Long Chain Fatty Acid;nonadecanoate (19:0)	0.822	1.3164	1.2725	0.6542	1.0453	0.9094	1.209	0.9175	1.0849	0.9529	0.8808	0.9988	1.2652	0.8373	1.0824
Lipid;Fatty Acid Metabolism(Acyl Glycine);N-palmitoyl glycine	0.5882	0.8373	0.4547	0.552	1	0.7518	2.7185	0.8325	1.7419	1.9422	1.0103	0.864	2.5205	0.876	1.295
Lipid;Sphingolipid Metabolism;N-palmitoyl-sphingosine (d18:1/16:0)	0.8479	0.677	0.7126	1.2679	0.698	0.0852	0.2264	0.0852	0.3275	0.0852	1	1.143	1.025	0.7142	0.5721
Lipid;Fatty Acid Metabolism(Acyl Carnitine);octanoylcarnitine	0.9569	0.8921	1.0151	1.0851	0.894	0.3516	0.9643	0.3732	1.0078	0.9922	1.1932	0.818	1.2849	0.8203	0.8635
Lipid;Fatty Acid, Amide;oleamide	0.5442	1.4945	0.4236	0.8537	1.6215	1.0203	0.7044	0.6616	0.9797	0.8889	1.3638	0.8638	1.3702	0.9382	1.8133
Lipid;Long Chain Fatty Acid;oleate/vaccenate (18:1)	1.0474	1.0058	0.9552	0.4099	0.7315	0.513	1.1341	0.2328	1.0289	1.0779	0.865	0.9942	1.1584	0.8055	0.7577
Lipid;Endocannabinoid;oleoyl ethanolamide	0.7173	2.0571	0.8847	0.4885	1.006	0.7453	1.3328	1.0437	1.2939	1.2016	0.6956	0.9639	1.651	0.7532	1.2449
Lipid;Fatty Acid Metabolism(Acyl Carnitine);oleoylcarnitine	0.7272	0.4961	0.5723	0.7073	0.6931	0.46	1.0178	0.7002	0.9069	0.9822	1.1613	1.3071	2.1255	1.1442	0.8
Amino Acid;Glutathione Metabolism;ophthalmate	0.585	0.2931	0.2173	1.0478	0.512	0.4877	0.7798	0.9522	1.1799	1.787	1.9641	3.2086	3.8475	1.8918	1.4007
Amino Acid;Urea cycle, Arginine and Proline Metabolism;ornithine	1.01	0.8446	0.9962	0.5133	1.0637	0.7203	0.7548	0.7501	0.9449	1.107	0.8538	1.0038	1.1994	1.0602	1.1692
Nucleotide;Pyrimidine Metabolism, Orotate containing;orotate	1.0748	1.007	0.993	0.7205	0.8738	0.4805	0.6416	0.5399	0.5836	0.8019	1.1122	1.3454	1.8428	1.3951	0.9815
Nucleotide;Pyrimidine Metabolism, Orotate containing;orotidine	0.7917	0.6351	0.564	0.6534	0.7531	0.445	0.5945	0.5711	0.6063	0.5186	1.9439	1.5201	1.8847	1.4844	1.3559
Xenobiotics;Chemical;O-sulfo-L-tyrosine	2.0177	1.0149	0.7357	0.6281	0.9127	0.6991	0.7723	0.5247	0.8215	0.8149	1.1633	1.0034	1.3928	1.4317	1.1538
Cofactors and Vitamins;Ascorbate and Aldarate Metabolism;oxalate (ethanedioate)	1.013	0.837	0.5538	0.3674	1.0725	1.3923	1.5709	0.5498	1.2415	1.376	0.987	0.9107	0.6721	0.9547	1.2188
Lipid;Long Chain Fatty Acid;palmitate (16:0)	0.9969	0.9688	1.1091	0.5942	0.869	0.7285	1.2553	0.4559	1.0126	1.1283	0.9778	1.0031	1.3932	0.9213	0.9286
Lipid;Long Chain Fatty Acid;palmitoleate (16:1n7)	1.3065	0.8209	0.7802	0.8917	0.8437	1.1117	1.4229	0.2074	1.7422	1.3579	0.6763	0.8789	1.8421	0.711	1.0004
Lipid;Sphingolipid Metabolism;palmitoyl dihydrosphingomyelin (d18:0/16:0)*	0.692	0.8443	0.9083	0.6599	0.89	0.731	0.8961	0.3635	0.8314	0.7321	1.0917	1.8258	2.8775	1.5707	1.3085
Lipid;Endocannabinoid;palmitoyl ethanolamide	0.7732	1.1363	0.7346	0.548	1.1089	0.6653	0.9698	0.6092	0.8351	0.9557	1.075	1.0989	1.3654	1.1697	0.8516
Lipid;Sphingolipid Metabolism;palmitoyl sphingomyelin (d18:1/16:0)	1.0446	0.8727	0.8019	0.7595	0.9936	0.7368	1.0006	0.6075	0.9643	0.9323	1.1292	1.1264	1.7191	1.2011	0.9973
Lipid;Fatty Acid Metabolism(Acyl Carnitine);palmitoylcarnitine	0.6713	0.472	0.5323	0.6568	0.7223	0.5742	0.7805	0.5989	0.7983	0.9566	1.3531	1.4226	2.5633	1.2256	1.0434
Cofactors and Vitamins;Pantothenate and CoA Metabolism;pantothenate	0.9013	0.9193	0.8839	0.5725	1.0132	0.8922	0.9911	0.7368	0.9401	1.1148	0.9535	1.1945	1.1497	1.1912	1.187
Amino Acid;Phenylalanine and Tyrosine Metabolism;p-cresol sulfate	1.5506	2.3075	1.369	0.7681	1.3399	1.4519	0.5466	1.1825	0.8404	0.41	0.4712	0.398	1.5635	0.8124	0.3437
Amino Acid;Phenylalanine and Tyrosine Metabolism;phenol sulfate	0.3399	1.0026	0.3487	0.418	1.133	3.005	0.0104	0.9724	0.0092	0.0068	1.1046	3.2204	0.0216	2.3194	3.1895
Amino Acid;Phenylalanine and Tyrosine Metabolism;phenylacetylglycine	0.6478	0.4868	0.799	0.2191	0.8489	1.6548	1.2368	1.1972	1.3826	0.6626	0.7233	1.092	1.7791	0.7573	1.614
Amino Acid;Phenylalanine and Tyrosine Metabolism;phenylalanine	0.8852	0.9846	0.825	0.5674	0.8482	0.8433	0.8702	0.977	0.994	1.1198	0.9684	1.1568	1.3692	1.1972	1.0881
Amino Acid;Phenylalanine and Tyrosine Metabolism;phenyllactate (PLA)	1.4696	4.0258	1.7607	0.8236	0.988	0.7338	0.6999	1.2402	0.8783	0.8878	0.967	0.9782	2.5776	1.2956	0.9327
Amino Acid;Phenylalanine and Tyrosine Metabolism;phenylpyruvate	1.0504	1.1709	0.8803	0.6039	1.3509	0.9339	1.2388	1.4083	1.0841	0.9496	0.6039	0.8652	1.3671	0.639	0.6986
Energy;Oxidative Phosphorylation;phosphate	0.8824	1.1204	0.928	0.8723	0.9863	0.9934	0.984	0.7582	1.0356	1.0066	0.9522	1.0475	1.1345	1.0106	1.0314
Lipid;Phospholipid Metabolism;phosphoethanolamine	0.3135	0.431	0.3595	1.6435	0.4173	0.4062	0.9888	0.6293	1.6127	0.9845	0.9101	1.0806	1.61	1.1003	1.5941
Lipid;Fatty Acid, Dicarboxylate;pimelate (heptanedioate)	1.3684	0.9326	0.8244	0.8244	0.8244	0.8244	0.8244	0.8244	0.8244	0.8244	0.8244	1.4355	0.8244	0.8593	0.8244
Amino Acid;Lysine Metabolism;pipecolate	1.3302	1.1481	1.019	0.6296	1.1864	1.0079	1.0583	1.0368	0.9921	0.9108	0.8433	0.7843	0.9058	1.1324	0.6675
Amino Acid;Urea cycle, Arginine and Proline Metabolism;pro-hydroxy-pro	2.3126	1.3174	0.9089	0.9891	1.4453	1.1913	1.4203	1.0023	1.4752	1.6082	0.9977	0.8754	1.0315	1.15	1.0458
Amino Acid;Urea cycle, Arginine and Proline Metabolism;proline	0.9871	0.9813	1.0683	0.8922	0.9479	0.6917	0.8261	0.5245	0.857	0.9424	1.0129	1.4932	1.6608	1.0257	1.1313
Peptide;Dipeptide;prolylglycine	1.009	1.4031	1.1664	0.6998	1.2386	1.0445	1.002	0.715	0.9318	1.2525	0.8902	0.7853	0.7863	1.1261	0.9798
Lipid;Fatty Acid Metabolism (also BCAA Metabolism);propionylcarnitine	0.7123	1.342	0.7455	0.2838	0.8162	0.7746	0.6521	0.4368	0.8802	0.9822	0.9155	1.9527	2.129	2.4925	1.7707
Lipid;Fatty Acid Metabolism (also BCAA Metabolism);propionylglycine	0.9889	0.8981	0.7847	0.1345	0.6839	0.9012	0.6836	1.2386	0.9371	0.7406	1.0111	1.0938	0.7925	1.6444	1.4809
Nucleotide;Pyrimidine Metabolism, Uracil containing;pseudouridine	1.0842	0.8226	0.68	0.5934	0.8689	0.8179	0.9857	0.8066	0.9488	0.8975	1.2184	1.1371	1.3991	1.2181	1.1598
Amino Acid;Polyamine Metabolism;putrescine	0.6789	0.7707	0.6007	0.3628	0.7641	0.5016	0.6337	0.8533	1.1173	0.9956	1.1239	1.3647	2.9824	2.4823	2.1241
Cofactors and Vitamins;Vitamin B6 Metabolism;pyridoxal	0.934	1.2288	1.4153	0.1924	0.7412	1.4168	0.9791	0.8306	1.0891	1.1019	0.92	1.2041	1.1834	0.9513	0.93
Cofactors and Vitamins;Vitamin B6 Metabolism;pyridoxate	1.0363	1.8056	1.16	0.4702	1.0093	1.4245	0.9556	0.8812	1.3097	0.9907	0.4761	0.9802	1.1978	1.2924	1.2084
Amino Acid;Glutamate Metabolism;pyroglutamine*	1.3083	1.2402	1.022	0.6561	0.8697	0.959	0.8915	0.7492	0.7649	0.8876	1.0845	1.0526	0.8209	1.0997	0.7855
Xenobiotics;Food Component/Plant;pyrraline	2.8905	5.1087	1.8212	0.7634	0.8047	0.3719	1.5658	0.7805	1.333	1	0.3719	0.3719	0.3719	0.3719	0.3719
Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;pyruvate	1.0624	1.3971	1.4912	0.7663	1.3771	0.7954	1.1738	0.493	0.7008	1.1048	1.0701	0.8484	0.951	0.6737	0.65
Xenobiotics;Food Component/Plant;quinate	12.1352	2.975	0.2652	2.6156	0.816	0.2652	1.3535	24.6311	0.9983	1.0017	1.0053	1.1132	0.5154	0.4098	0.2652
Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;quinolinate	0.4263	0.3823	0.2489	0.3117	0.5512	0.6891	0.4408	0.3669	0.8841	0.4667	3.7713	2.2066	2.8479	1.6666	2.354
Cofactors and Vitamins;Vitamin A Metabolism;retinol (Vitamin A)	1.2981	1.5048	1.0985	0.5268	1.4832	1.6989	1.6474	0.4491	1.4561	1.1298	1.2053	0.8377	0.9192	0.7203	0.8303
Carbohydrate;Pentose Metabolism;ribitol	0.8321	1.2075	0.7736	0.6252	0.93	0.7354	0.8959	0.5023	0.9463	0.8858	1.3231	1.3999	1.8633	1.5413	1.2809
Cofactors and Vitamins;Riboflavin Metabolism;riboflavin (Vitamin B2)	1.0331	1.1605	0.9442	0.5215	1.0591	0.9182	0.8541	0.7095	0.8918	1.1172	0.8838	1.2036	1.3992	1.4106	1.1349
Carbohydrate;Pentose Metabolism;ribonate	1.1749	1.084	0.6552	0.3288	0.8744	0.7866	0.7787	0.5446	0.7826	0.942	1.088	1.357	1.2167	1.0526	1.4296
Carbohydrate;Pentose Metabolism;ribose	1.3229	1.83	0.9752	0.2359	0.9607	0.2359	0.5107	0.4169	0.9838	1.1238	1.2331	1.6762	2.9812	4.0702	1.9634
Carbohydrate;Pentose Phosphate Pathway;ribose 1-phosphate	0.2449	0.4743	0.3404	0.9956	0.422	0.1792	0.5697	0.4523	0.8439	1.0044	1.7306	1.5657	2.6057	1.209	2.6736
Carbohydrate;Pentose Metabolism;ribulose/xylulose	1.6002	0.8023	1.0558	1.059	0.7812	0.9069	1.5904	0.9546	1.4347	1.2039	1.6665	0.7298	0.7082	0.7804	0.8405
Xenobiotics;Chemical;S-(3-hydroxypropyl)mercapturic acid (HPMA)	1.3283	1.0271	0.5479	0.3932	0.6028	0.5426	0.998	1.0434	0.9625	0.5245	1.2561	1.5135	1.0122	1.0412	1.002
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;S-adenosylhomocysteine (SAH)	1.0618	2.6805	1.0812	0.8376	1.1356	0.9499	0.8779	0.7514	1.8948	1.4484	0.3826	0.7978	1.3693	1.8966	1.7182
Xenobiotics;Drug;salicylate	1.5201	2.6482	0.9935	1.2992	1.0274	0.496	0.8461	0.9312	0.3912	0.3912	0.3912	1.0065	0.3912	0.4879	0.3912
Amino Acid;Glycine, Serine and Threonine Metabolism;sarcosine (N-Methylglycine)	0.952	0.935	0.4784	0.3232	0.9212	0.7638	0.5978	0.7622	1.0639	0.7029	1.0394	1.1208	1.2997	1.2917	1.3585
Amino Acid;Glycine, Serine and Threonine Metabolism;serine	0.9532	1.3767	1.4169	0.7017	1.3018	0.8205	0.9896	0.5475	0.9717	0.8226	1.0512	1.0981	0.8421	0.8488	1.0732
Amino Acid;Tryptophan Metabolism;serotonin	0.9888	1.7851	2.6189	30.1166	0.588	0.075	5.8738	7.2595	1.1242	5.5932	0.372	0.4049	1.0112	0.8789	1.2269
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;S-methylcysteine	0.6459	1.0394	1.023	0.8232	0.977	0.9582	1.0722	0.4282	1.346	1.3144	1.3822	1.2735	0.651	0.665	1.0664
Amino Acid;Glutathione Metabolism;S-methylglutathione	0.8749	0.838	0.476	0.395	0.7699	0.4304	0.479	0.4417	1.0187	1.1377	1.0289	1.2335	1.0245	1.1597	1.4276
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;S-methylmethionine	0.7567	1.1595	0.2105	0.8405	0.2105	1.3433	3.9024	7.88	2.8566	0.4208	0.473	0.2105	0.7036	1.5535	1.1958
Amino Acid;Polyamine Metabolism;spermidine	1.0168	1.2095	1.4449	2.4902	0.9344	0.5203	1.1328	2.4635	2.2087	1.6591	0.4472	0.3248	1.3829	0.9832	0.9209
Lipid;Sphingolipid Metabolism;sphinganine	0.4734	0.7584	0.8696	1.0221	0.5607	0.3714	0.3714	0.4147	0.3714	0.3714	1.0837	1.7354	1.083	1.0618	0.6107
Lipid;Sphingolipid Metabolism;sphinganine-1-phosphate	0.9802	1.2764	0.9459	0.8764	1.5711	0.8764	0.9075	1.0017	1.0467	0.8764	0.9983	1.3167	0.9439	1.3533	1.3254
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:1/14:0, d16:1/16:0)*	0.781	1.0391	0.9179	0.6222	1.1856	0.682	0.8359	0.4287	0.8865	0.8868	0.9643	1.1474	1.5513	1.1516	0.7956
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:1/15:0, d16:1/17:0)*	1.1672	1.3362	1.0305	0.8561	1.1679	0.8944	1.1307	0.6063	0.989	1.011	0.5733	0.7941	1.1075	0.9044	0.5807
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:1/18:1, d18:2/18:0)	1.6455	1.3309	1.1856	1.0756	1.5155	1.1788	1.5515	1.064	1.5206	1.4271	0.6829	0.7368	1.076	0.8684	0.6384
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:1/20:0, d16:1/22:0)*	0.9368	1.3213	1.1076	1	1.2549	1.0275	1.674	0.5689	1.3354	0.9692	0.6078	1.1518	1.6251	1.1866	0.5689
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:1/20:1, d18:2/20:0)*	0.9684	1.1254	1.0316	0.8191	1.3541	1.2078	1.825	0.8306	1.8252	1.3063	0.313	0.313	0.313	0.6349	0.313
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	1.8923	0.7167	1.7638	1.0749	2.0357	1.6055	2.4806	1.3978	2.4356	1.9917	0.7249	0.6614	0.6485	0.844	0.8562
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:1/24:1, d18:2/24:0)*	1.0565	1.2866	1.0549	0.7518	1.334	1.2387	1.4564	0.7162	1.4469	1.2428	0.93	0.867	1.0735	1.029	0.8426
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:2/16:0, d18:1/16:1)*	1.1982	0.9959	0.9457	0.8052	1.2547	0.8273	1.0768	0.7724	1.0942	1.1037	0.8091	0.9146	1.2888	1.0041	0.8849
Lipid;Sphingolipid Metabolism;sphingomyelin (d18:2/24:1, d18:1/24:2)*	1.1096	1.1923	1.05	0.6368	1.2947	1.1764	1.3228	0.7629	1.3163	1.1721	0.8373	0.888	1.1888	1.0384	0.8499
Lipid;Sphingolipid Metabolism;sphingosine	0.5216	0.9771	0.6593	2.383	0.53	0.416	0.416	0.5642	0.4967	0.416	1.5991	1.5469	1.8961	1.2779	0.6239
Lipid;Sphingolipid Metabolism;sphingosine 1-phosphate	0.8719	1.1388	0.8486	0.5879	1.1056	0.9929	0.7503	0.6177	0.9294	0.9449	1.0061	1.145	1.6116	1.1779	1.0141
Xenobiotics;Food Component/Plant;stachydrine	2.6782	4.6672	3.082	1.1916	1.0453	0.9547	1.7121	0.4547	0.6095	1.0866	0.4337	0.6026	0.4113	0.4712	0.2189
Lipid;Long Chain Fatty Acid;stearate (18:0)	0.8277	1.0567	1.0659	0.709	0.9065	0.8063	1.2547	0.8299	0.96	0.8902	0.9967	1.0731	1.3178	1.0147	1.0883
Lipid;Polyunsaturated Fatty Acid (n3 and n6);stearidonate (18:4n3)	1.4784	1.0016	0.9207	1.1663	1.0796	0.4213	0.9846	0.1119	1.7236	1.1746	0.688	0.9984	1.7637	0.5868	1.1067
Lipid;Sphingolipid Metabolism;stearoyl sphingomyelin (d18:1/18:0)	0.9917	1.0054	0.8152	0.7281	0.9015	0.7803	1.0016	0.5711	0.9984	0.9573	0.9014	1.0091	1.4695	1.0368	0.8279
Lipid;Fatty Acid Metabolism(Acyl Carnitine);stearoylcarnitine	0.6756	0.6505	0.6672	0.7307	0.8014	0.4711	0.5809	0.632	0.6658	0.8901	1.6586	2.0329	3.4934	1.37	1.1099
Lipid;Fatty Acid, Dicarboxylate;suberate (octanedioate)	0.9248	1.7695	0.993	0.649	1.1221	0.8133	0.7609	0.7315	1.1848	1.1702	0.9157	0.8743	0.8104	1.1551	1.3089
Energy;TCA Cycle;succinate	0.6038	1.6928	0.931	0.2585	1.0599	0.9401	0.6968	0.6201	1.1548	1.4746	0.6818	1.6832	1.9997	1.9697	1.6553
Energy;TCA Cycle;succinylcarnitine	0.6449	1.0044	0.4211	2.4836	0.7688	0.4211	0.7218	1.0115	0.4211	1	0.5078	0.4211	0.4211	0.5788	0.4211
Xenobiotics;Chemical;sulfate*	0.874	0.9674	0.6883	0.5272	1.0138	0.9862	0.8063	0.5251	0.8531	1.2549	1.2287	1.1746	1.2176	0.9415	1.1601
Xenobiotics;Bacterial/Fungal;tartronate (hydroxymalonate)	1.8162	1.1441	0.7842	0.9486	0.8846	1.2397	1.2844	1.1134	1.6485	1.0254	0.466	0.8006	1.1167	1.2643	1.0593
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;taurine	0.7459	0.7686	0.6844	1.5243	0.7829	0.6475	1.2471	0.977	1.1508	1.0237	1.1741	0.9578	1.1851	0.9492	0.989
Lipid;Primary Bile Acid Metabolism;tauro-beta-muricholate	0.239	1.3364	0.8042	3.5127	0.9919	1.4617	0.8457	9.1582	0.539	6.0262	0.7049	0.3452	3.7526	2.0506	0.2762
Lipid;Primary Bile Acid Metabolism;taurochenodeoxycholate	0.7934	1.6024	1.3141	4.4615	1.7487	0.9376	1.2064	21.2508	0.8371	9.1888	0.6556	0.4181	4.5596	1.3505	0.2278
Lipid;Primary Bile Acid Metabolism;taurocholate	0.4323	1.4338	0.8554	4.4448	0.9713	0.7903	0.6096	10.3724	0.5555	4.5761	1.0287	0.6559	4.6788	1.7471	0.4386
Lipid;Secondary Bile Acid Metabolism;taurocholenate sulfate	0.4277	0.4277	0.6473	0.4277	0.4277	0.4277	1.0795	2.4405	0.4277	1.9729	0.4277	0.4277	0.9205	0.4277	0.4277
Lipid;Secondary Bile Acid Metabolism;taurodeoxycholate	0.1881	2.9655	1.5854	1.8119	2.0859	1.5347	2.4798	5.6625	1.5306	5.3619	0.0414	0.2027	0.5275	0.1481	0.0334
Lipid;Secondary Bile Acid Metabolism;taurohyodeoxycholic acid	0.3441	0.3441	0.4051	0.5947	1.9589	0.3922	0.3441	1.8237	0.3441	2.0001	0.3441	0.3441	3.5998	1	0.3441
Lipid;Secondary Bile Acid Metabolism;tauroursodeoxycholate	0.5258	2.3966	1.071	3.6179	0.929	1.1475	1.4807	10.8454	1.1538	6.5236	0.7767	0.469	3.6031	1.3333	0.2815
Lipid;Fatty Acid, Dicarboxylate;tetradecanedioate	1.1363	1.6328	1.626	1.0221	0.8496	0.545	1.1709	0.731	0.9779	1.4166	0.6236	0.8505	1.8589	1.2626	0.6676
Cofactors and Vitamins;Thiamine Metabolism;thiamin (Vitamin B1)	1.7473	2.252	1.5273	0.4019	1.3551	1.1356	0.7231	0.499	1.2147	0.8016	0.5119	1.2381	1.2871	1.5362	1.254
Cofactors and Vitamins;Ascorbate and Aldarate Metabolism;threonate	0.5324	0.4167	0.4687	0.5326	1.2079	1.1359	1.769	0.8994	1.1979	1.1904	0.8413	0.8301	0.5284	1.0883	1.289
Amino Acid;Glycine, Serine and Threonine Metabolism;threonine	1.0573	1.1281	1.1514	0.5551	1.2618	0.7501	0.8886	0.7245	0.9427	0.8665	1.1949	1.2589	0.8552	0.8654	1.1037
Nucleotide;Pyrimidine Metabolism, Thymine containing;thymidine	0.5993	0.6757	0.6488	0.7584	0.9689	1.0265	0.6172	0.8043	1.0931	1.5807	0.9046	1.2455	1.0901	0.9347	1.3246
Nucleotide;Pyrimidine Metabolism, Thymine containing;thymine	0.5638	0.4202	0.3623	0.9626	0.5003	0.2668	0.8055	0.7905	0.5972	1.0374	0.9426	2.4727	4.0749	2.275	1.7995
Amino Acid;Phenylalanine and Tyrosine Metabolism;thyroxine	0.3266	1.2282	0.3266	0.3266	1.1113	0.7462	1.3216	0.3266	0.8803	1	0.3266	0.3266	0.3266	0.3266	0.3266
Amino Acid;Leucine, Isoleucine and Valine Metabolism;tigloylglycine	1.4618	0.8682	0.5081	0.5475	0.6582	1.0433	0.9986	2.4732	1.1674	0.5315	1.3166	0.9573	0.6963	1.4788	1.0014
Amino Acid;Leucine, Isoleucine and Valine Metabolism;tiglylcarnitine	0.7859	0.8117	1.014	0.222	0.6959	0.4298	0.6138	0.222	0.7016	0.9407	1.0234	1.0943	2.015	1.0696	1.1411
Amino Acid;Urea cycle, Arginine and Proline Metabolism;trans-4-hydroxyproline	1.1734	1.3579	1.2445	1.0679	1.515	1.2031	1.7993	0.4946	1.627	1.5	0.9993	1.1653	0.7982	0.8862	0.954
Amino Acid;Histidine Metabolism;trans-urocanate	2.585	0.9345	1.5005	3.7732	1.5361	0.6501	1.0338	1.0943	0.9305	1.2414	0.787	0.8439	0.9161	0.7208	0.7612
Energy;TCA Cycle;tricarballylate	1.479	3.8467	1.4454	0.3055	1.3463	1.648	2.6502	0.9009	1.1823	0.43	0.1816	0.5617	0.2195	0.759	0.4507
Lipid;Sphingolipid Metabolism;tricosanoyl sphingomyelin (d18:1/23:0)*	0.5425	0.5425	1.0657	0.7743	0.5425	1.6607	0.919	0.5425	0.5425	0.5425	0.5425	1.1563	0.958	1	0.5425
Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;trigonelline (N-methylnicotinate)	2.0864	5.4337	3.2935	0.843	1.4312	1.3895	1.9024	0.4439	0.9683	0.6132	0.3725	0.6437	0.4756	0.6136	0.3166
Lipid;Phospholipid Metabolism;trimethylamine N-oxide	6.2925	0.6908	1.1356	0.5942	1.2224	2.9381	1.7056	0.6423	2.4968	3.0419	0.4578	0.873	0.5728	1.5366	1.127
Amino Acid;Tryptophan Metabolism;tryptophan	0.9435	1.1833	0.9919	0.6129	1.1571	1.2453	1.2634	0.9296	1.1502	1.2505	0.9154	0.9054	0.7748	0.973	1.0081
